tc,area,pop,pden,wden,urb,paper,glass,metal,plastic,msw_so,msw_un,msw,sor,geo,roads,s_wteregio,s_landfill
210.8000031,225.4100037,40641,180.2981262,107149.6328,2,10.68671696,11.18099087,1.247658637,9.090905327,16572130,7053390,23625520,70.15,1,357,8.904969215,39.5241394
230.9299927,44.27999878,20433,461.4498901,192280.2656,2,11.35144119,9.729051687,0.946809848,4.8134228,6243930,2270240,8514170,73.34,1,189,4.046452045,45.41190338
207.3999939,143.9100037,37180,258.355896,127646.2656,2,11.38600166,14.84872213,1.189918721,3.616806791,15503994,2865580,18369574,84.4,2,298,11.05105972,11.28596973
99.02999878,8.920000076,2430,272.4215088,140400.6719,2,12.93942544,6.871749174,1.25928836,5.068773386,864804,387570,1252374,69.05,3,32,9.898176193,11.29678535
293.6799927,3.25,5564,1712,861121.25,2,11.7757028,9.380971642,1.402071861,3.765359224,1952644,846000,2798644,69.77,3,49,0,16.86346436
112.9300003,14.90999985,8544,573.038208,281109.5938,2,12.21329006,6.595259182,2.123042155,6.85352956,3268264,923080,4191344,77.98,3,70,9.898176193,11.29678535
184.8899994,181.9900055,58881,323.5397339,171266.9219,2,3.907350758,0.536596324,0.018313145,0.107129332,3423878,27744990,31168868,10.98,1,340,5.633979797,56.75167847
124.6399994,127.8399963,15651,122.4264755,65692.11719,2,12.55596517,6.192141537,2.444392052,9.098270081,6947990,1450090,8398080,82.73,3,152,33.10504913,15.23353004
176.6999969,6.420000076,20449,3185.202393,1220921.375,2,12.74330006,8.821219867,0.868362652,7.066824949,5985945,1669870,7655815,78.19,1,13,8.904969215,39.5241394
247.5099945,274.7399902,49995,181.9720459,77362.97656,2,12.37992305,12.53159771,0.687221991,4.945441724,15349544,5905160,21254704,72.22,1,310,0,76.68603516
306.7799988,49.29999924,5428,110.1014252,56625.21484,3,11.50083661,13.14289215,1.891193761,12.03475541,2158483,633140,2791623,77.32,1,70,27.87697983,3.602712631
137.4499969,46.25999832,27608,596.8007202,281149.7813,2,12.85054238,11.17551392,2.479073485,3.122569389,9985828,3020160,13005988,76.78,3,198,9.898176193,11.29678535
112.0899963,31.10000038,6075,195.337616,97050.86719,2,17.12056726,8.674404844,2.343419203,6.358153413,2470962,547320,3018282,81.87,3,91,9.898176193,11.29678535
460.75,7.659999847,3702,483.2898254,336742.4375,2,9.957948351,12.032424,1.031616467,6.949125142,1668017,911430,2579447,64.67,3,12,0,16.86346436
97.26999664,13.96000004,7211,516.5473022,213689.75,2,13.6656086,8.473039369,1.577045961,6.249553737,2141709,841400,2983109,71.79,3,52,9.898176193,11.29678535
